title,console,genre,publisher,developer,critic_score,total_sales(mil),na_sales(mil),jp_sales(mil),pal_sales(mil),other_sales(mil),release_date
Picross DS,DS,Puzzle,Nintendo,Jupiter Multimedia,8.4,0.5,0.17,0.3,0.02,0.02,2007-07-30
Picross 3D,DS,Puzzle,Nintendo,HAL Laboratory,8.7,0.5,0.28,0.16,0.03,0.03,2010-05-03
Alice: Madness Returns,X360,Adventure,Electronic Arts,Spicy Horse,6.9,0.5,0.27,0.04,0.15,0.04,2011-06-14
Epic Mickey: Power of Illusion,3DS,Platform,Disney Interactive Studios,DreamRift,6.6,0.5,0.36,0.04,0.05,0.04,2012-11-18
Hometown Story,3DS,Simulation,Natsume,Toy Box,5.5,0.5,0.29,0.04,0.13,0.04,2013-10-22
Dead or Alive Ultimate,XB,Fighting,Tecmo,Team Ninja,8.1,0.5,0.3,0.08,0.1,0.02,2004-10-26
R.U.S.E.,PS3,Strategy,Ubisoft,Eugen Systems,8.0,0.5,0.18,0.02,0.22,0.08,2010-09-07
Super Monkey Ball 3D,3DS,Action,Sega,Sega,5.7,0.5,0.26,0.05,0.15,0.04,2011-03-27
Spider-Man 2,DS,Action,Activision,Vicarious Visions,6.1,0.5,0.41,0.03,0.02,0.04,2004-11-16
Fire Emblem: Radiant Dawn,Wii,Strategy,Nintendo,Intelligent Systems,7.7,0.49,0.27,0.17,0.03,0.03,2007-11-05
Kane & Lynch 2: Dog Days,X360,Shooter,Square Enix,IO Interactive,6.4,0.49,0.2,0.01,0.23,0.05,2010-08-17
Ace Combat: Assault Horizon,X360,Action,Namco Bandai,Project ACES,7.0,0.49,0.3,0.03,0.12,0.04,2011-10-11
Dynasty Warriors: Gundam 2,PS3,Action,Namco Bandai,Omega Force,5.9,0.49,0.09,0.32,0.07,0.03,2009-04-21
Dragon Ball Z: Burst Limit,X360,Fighting,Atari,Dimps Corporation,7.3,0.49,0.24,0.03,0.18,0.05,2008-06-10
Animal Crossing: Amiibo Festival,WiiU,Party,Nintendo,"Nd Cube Co., Ltd.",4.8,0.49,0.23,0.1,0.12,0.04,2015-11-13
Asphalt 3D,3DS,Racing,Ubisoft,Konami,4.0,0.49,0.27,0.02,0.16,0.04,2011-03-22
Crazy Taxi,GC,Racing,Acclaim Entertainment,Hitmaker,7.2,0.49,0.36,0.02,0.09,0.01,2001-11-17
DiRT 4,PS4,Racing,Deep Silver,Codemasters,8.6,0.49,0.1,0.02,0.3,0.07,2017-06-06
Alone in the Dark,X360,Adventure,Atari,Eden Studios,6.3,0.49,0.14,0.0,0.3,0.05,2008-06-23
